spend_id,date,campaign_id,channel,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,currency
SP000001,2021-10-25,1,Paid Search,google,cpc,campaign_01,35,2,10.0,USD
SP000002,2021-10-26,1,Paid Search,google,cpc,campaign_01,68,4,10.0,USD
SP000003,2021-10-27,1,Paid Search,google,cpc,campaign_01,68,3,10.0,USD
SP000004,2021-10-28,1,Paid Search,google,cpc,campaign_01,108,6,14.64,USD
SP000005,2021-10-29,1,Paid Search,google,cpc,campaign_01,73,4,10.0,USD
SP000006,2021-10-30,1,Paid Search,google,cpc,campaign_01,17,1,10.0,USD
SP000007,2021-10-31,1,Paid Search,google,cpc,campaign_01,18,1,10.0,USD
SP000008,2021-11-01,1,Paid Search,google,cpc,campaign_01,52,3,10.0,USD
SP000009,2021-11-02,1,Paid Search,google,cpc,campaign_01,88,5,10.0,USD
SP000010,2021-11-03,1,Paid Search,google,cpc,campaign_01,67,4,10.0,USD
SP000011,2021-11-04,1,Paid Search,google,cpc,campaign_01,74,4,10.0,USD
SP000012,2021-11-05,1,Paid Search,google,cpc,campaign_01,81,5,12.59,USD
SP000013,2021-11-06,1,Paid Search,google,cpc,campaign_01,19,1,10.0,USD
SP000014,2021-11-07,1,Paid Search,google,cpc,campaign_01,17,1,10.0,USD
SP000015,2021-11-08,1,Paid Search,google,cpc,campaign_01,52,3,10.0,USD
SP000016,2021-11-09,1,Paid Search,google,cpc,campaign_01,45,3,10.0,USD
SP000017,2021-11-10,1,Paid Search,google,cpc,campaign_01,77,4,10.0,USD
SP000018,2021-11-11,1,Paid Search,google,cpc,campaign_01,34,2,10.0,USD
SP000019,2021-11-12,1,Paid Search,google,cpc,campaign_01,18,1,10.0,USD
SP000020,2021-11-13,1,Paid Search,google,cpc,campaign_01,79,4,10.0,USD
SP000021,2021-11-14,1,Paid Search,google,cpc,campaign_01,85,5,12.37,USD
SP000022,2021-11-15,1,Paid Search,google,cpc,campaign_01,41,2,10.0,USD
SP000023,2021-11-16,1,Paid Search,google,cpc,campaign_01,78,4,10.0,USD
SP000024,2021-11-17,1,Paid Search,google,cpc,campaign_01,54,3,10.0,USD
SP000025,2021-11-18,1,Paid Search,google,cpc,campaign_01,117,7,13.8,USD
SP000026,2021-11-19,1,Paid Search,google,cpc,campaign_01,85,5,10.0,USD
SP000027,2021-11-20,1,Paid Search,google,cpc,campaign_01,53,3,10.0,USD
SP000028,2021-11-21,1,Paid Search,google,cpc,campaign_01,64,3,10.0,USD
SP000029,2021-11-22,1,Paid Search,google,cpc,campaign_01,76,4,10.0,USD
SP000030,2021-11-23,1,Paid Search,google,cpc,campaign_01,37,2,10.0,USD
SP000031,2021-11-24,1,Paid Search,google,cpc,campaign_01,100,5,11.06,USD
SP000032,2021-11-25,1,Paid Search,google,cpc,campaign_01,87,4,10.0,USD
SP000033,2021-11-26,1,Paid Search,google,cpc,campaign_01,54,3,10.0,USD
SP000034,2021-10-24,2,Email,email,email,campaign_02,83,4,10.0,USD
SP000035,2021-10-25,2,Email,email,email,campaign_02,46,2,10.0,USD
SP000036,2021-10-26,2,Email,email,email,campaign_02,82,4,10.0,USD
SP000037,2021-10-27,2,Email,email,email,campaign_02,153,6,10.0,USD
SP000038,2021-10-28,2,Email,email,email,campaign_02,147,6,10.0,USD
SP000039,2021-10-29,2,Email,email,email,campaign_02,66,3,10.0,USD
SP000040,2021-10-30,2,Email,email,email,campaign_02,116,5,10.0,USD
SP000041,2021-10-31,2,Email,email,email,campaign_02,21,1,10.0,USD
SP000042,2021-11-01,2,Email,email,email,campaign_02,106,5,10.0,USD
SP000043,2021-11-02,2,Email,email,email,campaign_02,208,9,10.0,USD
SP000044,2021-11-03,2,Email,email,email,campaign_02,76,3,10.0,USD
SP000045,2021-11-04,2,Email,email,email,campaign_02,93,4,10.0,USD
SP000046,2021-11-05,2,Email,email,email,campaign_02,42,2,10.0,USD
SP000047,2021-11-06,2,Email,email,email,campaign_02,83,4,10.0,USD
SP000048,2021-11-07,2,Email,email,email,campaign_02,93,4,10.0,USD
SP000049,2021-11-08,2,Email,email,email,campaign_02,53,2,10.0,USD
SP000050,2021-11-09,2,Email,email,email,campaign_02,77,3,10.0,USD
SP000051,2021-11-10,2,Email,email,email,campaign_02,43,2,10.0,USD
SP000052,2021-11-11,2,Email,email,email,campaign_02,192,9,10.0,USD
SP000053,2021-11-12,2,Email,email,email,campaign_02,24,1,10.0,USD
SP000054,2021-11-13,2,Email,email,email,campaign_02,44,2,10.0,USD
SP000055,2021-11-14,2,Email,email,email,campaign_02,65,3,10.0,USD
SP000056,2021-11-15,2,Email,email,email,campaign_02,115,6,10.0,USD
SP000057,2021-11-16,2,Email,email,email,campaign_02,50,2,10.0,USD
SP000058,2021-11-17,2,Email,email,email,campaign_02,109,5,10.0,USD
SP000059,2021-11-18,2,Email,email,email,campaign_02,62,3,44.56,USD
SP000060,2021-11-19,2,Email,email,email,campaign_02,39,2,10.0,USD
SP000061,2021-11-20,2,Email,email,email,campaign_02,119,5,10.0,USD
SP000062,2021-11-21,2,Email,email,email,campaign_02,116,5,10.0,USD
