transaction_id,customer_id,campaign_id,traffic_source,first_click_revenue,last_click_revenue,linear_revenue
1,59540,2,Email,43.74,43.74,43.74
3,51818,20,Email,40.61,40.61,40.61
6,10749,0,Direct,169.74,0.0,84.87
6,10749,17,Paid Search,0.0,169.74,84.87
7,25984,40,Paid Search,42.48,42.48,42.48
8,85140,6,Social,36.95,36.95,36.95
9,52930,0,Organic,125.59,0.0,62.8
9,52930,22,Social,0.0,125.59,62.8
13,45997,18,Paid Search,100.76,0.0,50.38
13,45997,2,Paid Search,0.0,100.76,50.38
15,30203,0,Organic,123.87,123.87,123.87
17,25737,0,Organic,69.57,69.57,69.57
18,75725,0,Organic,138.25,138.25,138.25
24,34898,18,Paid Search,18.39,18.39,18.39
25,17574,47,Paid Search,178.05,0.0,59.35
25,17574,33,Paid Search,0.0,0.0,59.35
25,17574,42,Email,0.0,178.05,59.35
27,36945,21,Paid Search,84.8,0.0,28.27
27,36945,0,Organic,0.0,0.0,28.27
27,36945,23,SOCIAL,0.0,84.8,28.27
28,91979,0,Organic,12.06,0.0,6.03
28,91979,0,Direct,0.0,12.06,6.03
29,2530,24,Social,12.55,12.55,12.55
30,25399,30,Social,12.25,12.25,12.25
31,5903,24,PAID SEARCH,26.79,0.0,6.7
31,5903,0,Organic,0.0,0.0,6.7
31,5903,34,Email,0.0,0.0,6.7
31,5903,17,Social,0.0,26.79,6.7
33,81409,0,Direct,27.33,0.0,13.66
33,81409,0,Organic,0.0,27.33,13.66
34,81957,30,Email,45.88,45.88,45.88
35,16728,49,Email,104.11,0.0,52.05
35,16728,0,Organic,0.0,104.11,52.05
36,2322,0,Organic,59.99,59.99,59.99
37,82265,8,Email,124.12,0.0,24.82
37,82265,31,Paid Search,0.0,0.0,24.82
37,82265,0,Organic,0.0,0.0,24.82
37,82265,19,Social,0.0,0.0,24.82
37,82265,7,Social,0.0,124.12,24.82
38,6301,0,Organic,67.9,67.9,67.9
41,83860,0,Organic,14.64,14.64,14.64
42,69804,0,Direct,197.45,0.0,98.72
42,69804,0,Direct,0.0,197.45,98.72
43,90703,0,Organic,51.09,51.09,51.09
45,64997,0,Organic,55.97,0.0,27.98
45,64997,0,Organic,0.0,55.97,27.98
46,70071,48,Email,60.0,60.0,60.0
49,29815,0,ORGANIC,79.4,79.4,79.4
50,38085,0,Organic,146.29,0.0,73.14
50,38085,46,EMAIL,0.0,146.29,73.14
51,88270,0,Organic,71.52,0.0,35.76
51,88270,0,Organic,0.0,71.52,35.76
52,88590,32,Social,41.36,41.36,41.36
55,26849,0,Organic,63.61,63.61,63.61
57,12129,26,Email,10.81,0.0,3.6
57,12129,0,Organic,0.0,0.0,3.6
57,12129,5,Social,0.0,10.81,3.6
60,69136,0,Organic,22.72,0.0,11.36
60,69136,0,Organic,0.0,22.72,11.36
61,51876,6,Paid Search,71.1,71.1,71.1
62,89622,0,Organic,57.32,57.32,57.32
63,96081,24,Social,84.38,0.0,16.88
63,96081,0,Direct,0.0,0.0,16.88
63,96081,21,SOCIAL,0.0,0.0,16.88
63,96081,1,Email,0.0,0.0,16.88
63,96081,0,Organic,0.0,84.38,16.88
64,48071,27,Social,44.57,44.57,44.57
65,24473,47,Email,8.02,8.02,8.02
67,42861,40,Email,60.06,0.0,30.03
67,42861,37,Social,0.0,60.06,30.03
68,28452,26,Email,60.2,0.0,30.1
68,28452,29,Paid Search,0.0,60.2,30.1
70,73328,0,Organic,97.21,0.0,48.6
70,73328,28,Paid Search,0.0,97.21,48.6
72,49399,0,Organic,10.13,0.0,3.38
72,49399,0,Organic,0.0,0.0,3.38
72,49399,0,Organic,0.0,10.13,3.38
73,45874,24,Email,10.09,0.0,5.04
73,45874,14,Email,0.0,10.09,5.04
74,42309,33,Social,125.93,125.93,125.93
75,68810,0,Organic,137.36,0.0,45.79
75,68810,23,Social,0.0,0.0,45.79
75,68810,15,Email,0.0,137.36,45.79
77,79934,0,Direct,64.71,0.0,32.35
77,79934,0,Organic,0.0,64.71,32.35
79,74249,24,Social,64.07,64.07,64.07
80,56933,40,Social,97.87,97.87,97.87
82,7319,0,Organic,53.46,53.46,53.46
83,99840,42,Paid Search,81.48,81.48,81.48
84,14316,35,Paid Search,57.32,57.32,57.32
85,25867,31,Email,132.75,132.75,132.75
90,92375,0,Organic,52.91,52.91,52.91
91,77759,9,Social,116.8,0.0,38.93
91,77759,35,Email,0.0,0.0,38.93
91,77759,0,Organic,0.0,116.8,38.93
92,69456,21,Email,544.88,544.88,544.88
93,43834,27,Email,45.75,0.0,11.44
93,43834,23,Paid Search,0.0,0.0,11.44
93,43834,0,Organic,0.0,0.0,11.44
93,43834,0,Organic,0.0,45.75,11.44
94,43424,17,Email,20.74,0.0,3.46
94,43424,0,Organic,0.0,0.0,3.46
94,43424,0,Organic,0.0,0.0,3.46
94,43424,35,Paid Search,0.0,0.0,3.46
94,43424,0,Organic,0.0,0.0,3.46
94,43424,0,Organic,0.0,20.74,3.46
98,1885,0,Organic,347.82,0.0,173.91
98,1885,0,Organic,0.0,347.82,173.91
101,55614,6,Paid Search,124.26,0.0,62.13
101,55614,0,Organic,0.0,124.26,62.13
103,50598,7,Paid Search,23.91,23.91,23.91
104,6832,0,Organic,61.06,0.0,30.53
104,6832,0,Organic,0.0,61.06,30.53
105,43544,0,Organic,56.48,56.48,56.48
108,60635,37,Paid Search,537.48,537.48,537.48
112,41424,0,Organic,42.74,42.74,42.74
119,70728,37,Email,50.23,0.0,25.11
119,70728,31,Social,0.0,50.23,25.11
123,70122,0,Direct,54.57,0.0,27.29
123,70122,45,Paid Search,0.0,54.57,27.29
124,17572,41,Paid Search,77.48,77.48,77.48
125,46053,0,Direct,57.3,57.3,57.3
127,5711,4,Social,14.5,0.0,4.83
127,5711,35,Email,0.0,0.0,4.83
127,5711,0,Organic,0.0,14.5,4.83
128,31683,13,Email,268.11,0.0,134.06
128,31683,49,Email,0.0,268.11,134.06
133,24828,14,Social,75.62,0.0,25.21
133,24828,0,Organic,0.0,0.0,25.21
133,24828,27,Paid Search,0.0,75.62,25.21
135,39611,0,Organic,35.63,0.0,11.88
135,39611,0,Organic,0.0,0.0,11.88
135,39611,0,Organic,0.0,35.63,11.88
136,88196,0,Organic,504.66,504.66,504.66
139,16830,0,Organic,49.38,49.38,49.38
141,51594,38,Social,95.62,95.62,95.62
143,74278,38,Social,65.12,0.0,21.71
143,74278,0,Organic,0.0,0.0,21.71
143,74278,45,Paid Search,0.0,65.12,21.71
146,78138,22,Email,10.13,10.13,10.13
147,17886,0,Organic,14.72,14.72,14.72
148,92546,0,Organic,46.27,0.0,23.14
148,92546,0,Organic,0.0,46.27,23.14
149,64732,0,Organic,132.2,132.2,132.2
150,16862,34,Paid Search,78.62,78.62,78.62
151,60049,35,Social,40.17,40.17,40.17
152,69024,22,Paid Search,116.42,116.42,116.42
155,90642,0,Organic,14.98,14.98,14.98
158,78769,20,Email,99.89,99.89,99.89
161,32600,48,Paid Search,138.05,138.05,138.05
162,90918,2,Paid Search,136.97,136.97,136.97
165,8392,44,Paid Search,144.55,0.0,72.28
165,8392,46,Paid Search,0.0,144.55,72.28
168,14983,26,Social,89.69,0.0,22.42
168,14983,13,Paid Search,0.0,0.0,22.42
168,14983,0,Organic,0.0,0.0,22.42
168,14983,0,Organic,0.0,89.69,22.42
174,12271,33,Social,55.08,0.0,13.77
174,12271,0,Organic,0.0,0.0,13.77
174,12271,0,Organic,0.0,0.0,13.77
174,12271,0,Organic,0.0,55.08,13.77
175,58619,0,Organic,14.64,0.0,2.93
175,58619,0,Direct,0.0,0.0,2.93
175,58619,35,Social,0.0,0.0,2.93
175,58619,0,Organic,0.0,0.0,2.93
175,58619,35,Social,0.0,14.64,2.93
181,86612,0,Organic,79.92,79.92,79.92
183,54814,44,Paid Search,41.18,0.0,13.73
183,54814,6,Social,0.0,0.0,13.73
183,54814,2,Social,0.0,41.18,13.73
184,26365,0,Organic,159.24,159.24,159.24
186,58727,0,Organic,12.2,0.0,6.1
186,58727,0,Organic,0.0,12.2,6.1
187,84870,0,Organic,102.66,102.66,102.66
188,71378,0,Organic,77.5,77.5,77.5
189,28535,0,Organic,18.51,18.51,18.51
194,56689,0,Direct,38.78,0.0,19.39
194,56689,35,Social,0.0,38.78,19.39
195,84816,0,ORGANIC,85.6,0.0,28.53
195,84816,5,Paid Search,0.0,0.0,28.53
195,84816,0,Organic,0.0,85.6,28.53
198,30757,0,Organic,52.33,52.33,52.33
201,3555,35,Paid Search,30.48,30.48,30.48
202,11694,0,Organic,32.22,32.22,32.22
205,73315,0,Organic,23.73,0.0,11.87
205,73315,35,Email,0.0,23.73,11.87
206,35206,0,Organic,49.26,49.26,49.26
208,89899,0,Organic,503.77,503.77,503.77
210,92014,40,Paid Search,62.15,62.15,62.15
211,50618,34,Paid Search,161.21,161.21,161.21
212,55786,7,Social,36.53,0.0,18.27
212,55786,4,Social,0.0,36.53,18.27
214,54499,0,Organic,25.53,25.53,25.53
217,66259,40,Email,131.9,0.0,43.97
217,66259,23,Email,0.0,0.0,43.97
217,66259,0,Organic,0.0,131.9,43.97
222,93128,0,Direct,49.62,49.62,49.62
223,19294,37,Paid Search,262.88,0.0,87.63
223,19294,0,Organic,0.0,0.0,87.63
223,19294,39,Email,0.0,262.88,87.63
224,43331,48,Social,47.0,0.0,23.5
224,43331,48,Email,0.0,47.0,23.5
231,23133,0,Organic,50.01,0.0,25.0
231,23133,0,Organic,0.0,50.01,25.0
232,50419,10,Social,53.17,0.0,17.72
232,50419,14,Email,0.0,0.0,17.72
232,50419,0,Organic,0.0,53.17,17.72
233,57173,0,Organic,61.98,0.0,20.66
233,57173,44,Social,0.0,0.0,20.66
233,57173,0,Organic,0.0,61.98,20.66
234,45663,11,Email,212.92,212.92,212.92
236,35675,28,Email,56.9,56.9,56.9
237,45652,0,Organic,114.1,0.0,57.05
237,45652,37,Social,0.0,114.1,57.05
238,23994,11,Paid Search,41.7,41.7,41.7
239,54750,42,Paid Search,36.56,0.0,12.19
239,54750,0,Organic,0.0,0.0,12.19
239,54750,25,Email,0.0,36.56,12.19
242,32988,0,Organic,20.27,0.0,5.07
242,32988,0,Organic,0.0,0.0,5.07
242,32988,17,Email,0.0,0.0,5.07
242,32988,0,Organic,0.0,20.27,5.07
245,69017,36,Paid Search,110.0,0.0,55.0
245,69017,2,Email,0.0,110.0,55.0
246,47701,21,Social,257.04,257.04,257.04
247,44037,4,Email,27.12,0.0,13.56
247,44037,6,Paid Search,0.0,27.12,13.56
253,93428,0,Organic,8.29,0.0,4.14
253,93428,0,Organic,0.0,8.29,4.14
255,36746,15,Paid Search,136.26,136.26,136.26
257,75228,38,Social,133.04,133.04,133.04
259,28411,0,Direct,36.89,0.0,18.45
259,28411,0,Organic,0.0,36.89,18.45
260,7643,38,Social,40.61,0.0,20.3
260,7643,15,Email,0.0,40.61,20.3
266,90080,40,Social,54.35,0.0,27.18
266,90080,0,Organic,0.0,54.35,27.18
268,80844,0,Organic,82.6,82.6,82.6
269,23296,0,Organic,11.95,0.0,2.99
269,23296,0,Organic,0.0,0.0,2.99
269,23296,5,Paid Search,0.0,0.0,2.99
269,23296,0,Organic,0.0,11.95,2.99
270,13520,49,Paid Search,86.75,86.75,86.75
271,36358,16,Paid Search,86.95,86.95,86.95
275,30396,0,Organic,165.18,0.0,55.06
275,30396,25,Paid Search,0.0,0.0,55.06
275,30396,0,Organic,0.0,165.18,55.06
276,61024,6,Social,95.42,95.42,95.42
277,57639,0,Organic,14.01,14.01,14.01
278,95144,0,Organic,33.22,33.22,33.22
280,16009,0,Direct,158.25,0.0,79.13
280,16009,0,Organic,0.0,158.25,79.13
281,2379,0,Organic,15.44,15.44,15.44
282,39790,0,Organic,17.87,0.0,8.94
282,39790,0,Organic,0.0,17.87,8.94
284,43985,24,Email,23.18,0.0,11.59
284,43985,0,Direct,0.0,23.18,11.59
286,99447,50,Paid Search,65.76,65.76,65.76
287,57757,0,Organic,47.35,47.35,47.35
290,7978,11,Email,391.12,0.0,195.56
290,7978,20,Email,0.0,391.12,195.56
291,27149,0,Organic,47.48,0.0,15.83
291,27149,0,Organic,0.0,0.0,15.83
291,27149,50,Email,0.0,47.48,15.83
292,75987,0,Direct,100.67,0.0,33.56
292,75987,0,Organic,0.0,0.0,33.56
292,75987,0,Organic,0.0,100.67,33.56
293,64420,0,Direct,46.86,46.86,46.86
294,75323,0,Organic,86.99,0.0,43.49
294,75323,20,Email,0.0,86.99,43.49
304,33515,49,Social,25.6,0.0,12.8
304,33515,48,Social,0.0,25.6,12.8
306,28175,47,Social,211.53,0.0,105.77
306,28175,0,Organic,0.0,211.53,105.77
307,89867,0,Organic,20.7,20.7,20.7
309,32908,28,Email,118.46,0.0,39.49
309,32908,15,Paid Search,0.0,0.0,39.49
309,32908,35,Paid Search,0.0,118.46,39.49
310,97107,0,Organic,175.43,0.0,58.48
310,97107,0,Organic,0.0,0.0,58.48
310,97107,50,Social,0.0,175.43,58.48
312,54168,35,Social,53.64,0.0,26.82
312,54168,10,Paid Search,0.0,53.64,26.82
313,63235,0,Organic,94.03,0.0,23.51
313,63235,0,Organic,0.0,0.0,23.51
313,63235,0,Organic,0.0,0.0,23.51
313,63235,22,Social,0.0,94.03,23.51
315,47436,42,Email,107.98,107.98,107.98
316,41531,0,ORGANIC,208.88,0.0,104.44
316,41531,0,DIRECT,0.0,208.88,104.44
317,66349,1,Email,8.01,0.0,2.67
317,66349,31,Paid Search,0.0,0.0,2.67
317,66349,8,Paid Search,0.0,8.01,2.67
320,20422,45,Paid Search,75.38,75.38,75.38
324,28320,0,Organic,70.69,70.69,70.69
327,84307,0,Organic,217.12,217.12,217.12
328,39948,7,Email,22.61,22.61,22.61
329,19261,7,Paid Search,38.48,38.48,38.48
330,72191,0,Direct,109.83,109.83,109.83
331,27075,0,Organic,18.09,18.09,18.09
334,58899,0,Organic,29.74,29.74,29.74
337,13480,0,Organic,39.99,39.99,39.99
344,81674,13,Social,106.65,0.0,53.33
344,81674,24,SOCIAL,0.0,106.65,53.33
345,87530,2,Email,299.76,0.0,99.92
345,87530,37,Paid Search,0.0,0.0,99.92
345,87530,0,Organic,0.0,299.76,99.92
346,81775,8,Paid Search,98.66,98.66,98.66
347,42693,33,Email,12.2,12.2,12.2
348,65844,0,Organic,60.39,0.0,20.13
348,65844,0,Organic,0.0,0.0,20.13
