transaction_id,customer_id,event_id,campaign_id,traffic_source,touchpoint_time,conversion_time,gross_revenue,total_touchpoints,attribution_weight,attributed_revenue
1,59540,432210,2,Email,2021-06-22 23:06:14,2021-12-27 08:25:15,43.74,1,1.0,43.74
3,51818,1891908,20,Email,2022-04-28 18:30:10,2023-08-31 05:29:54,40.61,1,1.0,40.61
6,10749,411979,0,Direct,2021-08-16 08:23:00,2023-01-19 14:05:58,169.74,2,0.5,84.87
6,10749,1137837,17,Paid Search,2022-11-29 05:00:24,2023-01-19 14:05:58,169.74,2,0.5,84.87
7,25984,1565062,40,Paid Search,2021-06-14 18:00:23,2023-07-28 09:37:53,42.48,1,1.0,42.48
8,85140,583250,6,Social,2021-04-19 07:46:19,2022-07-10 07:29:15,36.95,1,1.0,36.95
9,52930,1356210,0,Organic,2022-01-17 12:21:14,2023-11-02 05:22:44,125.59,2,0.5,62.8
9,52930,1605954,22,Social,2022-03-28 21:33:49,2023-11-02 05:22:44,125.59,2,0.5,62.8
13,45997,1979193,18,Paid Search,2021-02-07 18:48:16,2023-03-09 15:36:33,100.76,2,0.5,50.38
13,45997,1492989,2,Paid Search,2023-02-12 17:14:48,2023-03-09 15:36:33,100.76,2,0.5,50.38
15,30203,1095696,0,Organic,2021-01-07 10:10:40,2021-07-27 16:22:47,123.87,1,1.0,123.87
17,25737,576145,0,Organic,2022-12-08 17:15:06,2023-08-27 12:23:10,69.57,1,1.0,69.57
18,75725,1311409,0,Organic,2022-09-18 05:23:35,2023-03-30 16:42:58,138.25,1,1.0,138.25
24,34898,1655934,18,Paid Search,2022-01-24 06:03:04,2022-09-16 14:44:36,18.39,1,1.0,18.39
25,17574,1039729,47,Paid Search,2021-03-16 13:07:18,2021-11-03 06:20:33,178.05,3,0.3333,59.35
25,17574,1542276,33,Paid Search,2021-06-06 22:03:57,2021-11-03 06:20:33,178.05,3,0.3333,59.35
