channel,campaign_id,total_transactions,total_revenue
Organic,0,54685,9108235.6
Direct,0,20055,2249024.28
ORGANIC,0,2710,270914.34
Paid Search,44,1813,179448.45
Paid Search,18,1827,177327.64
Paid Search,7,1743,170770.02
Paid Search,5,1721,170604.18
Paid Search,29,1751,167479.5
Paid Search,17,1699,167169.34
Paid Search,31,1689,166166.6
Paid Search,2,1690,164143.08
Paid Search,9,1666,163904.98
Paid Search,16,1681,163537.87
Paid Search,49,1714,163239.25
Paid Search,25,1740,162751.81
Paid Search,40,1656,161843.18
Paid Search,4,1681,161278.35
Paid Search,36,1653,160815.7
Paid Search,8,1703,157939.07
Paid Search,33,1580,155775.58
Paid Search,11,1592,155555.38
Paid Search,19,1582,153947.23
Paid Search,39,1609,153635.34
Paid Search,37,1583,153165.51
Paid Search,21,1600,152714.41
Paid Search,48,1595,152212.17
Paid Search,23,1601,150343.83
Paid Search,43,1487,147559.1
Paid Search,28,1531,145595.11
Paid Search,3,1520,145587.02
Paid Search,45,1484,144575.25
Paid Search,15,1454,142292.73
Paid Search,14,1510,141518.59
Paid Search,6,1539,140927.87
Paid Search,27,1433,140293.79
Paid Search,42,1417,136435.72
Paid Search,24,1389,135955.79
Email,25,1354,135452.61
Paid Search,47,1392,134885.3
Social,7,1339,133745.94
Paid Search,38,1422,132741.81
Paid Search,35,1328,132205.24
Paid Search,20,1363,131209.41
Paid Search,10,1275,130767.67
Email,18,1363,130210.35
Email,17,1386,129564.08
Social,29,1312,129557.58
Paid Search,13,1390,128508.43
Email,5,1382,128035.85
Paid Search,34,1272,127895.61
Email,29,1311,127593.39
Email,45,1288,126905.71
Paid Search,41,1314,126687.83
Email,2,1299,126595.67
Paid Search,32,1303,126473.38
Paid Search,30,1318,125834.71
Social,49,1245,125496.15
Email,49,1335,125210.8
Email,33,1259,124996.94
Email,16,1302,124770.51
Email,44,1309,124340.4
Email,9,1283,123907.76
Paid Search,22,1295,123146.73
Email,36,1239,122748.13
Email,23,1263,122473.79
Email,8,1259,122088.42
Email,7,1293,122026.66
Social,18,1262,120808.13
Email,40,1288,120716.66
Email,39,1250,120507.46
Social,44,1263,120338.78
Social,17,1282,120291.5
Email,6,1236,120011.09
Email,37,1243,119882.98
Social,4,1201,118824.16
Email,48,1265,118104.31
Email,31,1252,117952.64
Paid Search,26,1232,117267.01
Social,36,1236,117265.05
Social,5,1198,116530.21
Paid Search,46,1186,116293.25
Social,8,1153,115569.16
Email,4,1226,115399.45
Paid Search,12,1221,115165.75
Email,14,1198,115070.23
Social,16,1188,114534.51
Social,40,1130,114312.88
Paid Search,1,1166,114288.03
Social,25,1146,113071.3
Social,31,1148,113031.59
Social,33,1107,112353.44
Social,14,1125,111992.25
Email,19,1139,111863.81
Email,21,1139,111693.78
Email,15,1198,111393.47
Email,43,1148,110626.96
Social,45,1177,109980.25
Paid Search,50,1174,109926.47
Email,3,1136,108607.24
Social,11,1150,108382.66
Email,38,1104,107452.45
Email,28,1168,107280.11
Email,11,1148,106648.94
Social,43,1038,105008.56
Email,47,1116,104073.51
Social,23,1069,103906.57
Social,39,1088,103713.1
Email,27,1080,103699.16
Social,2,1085,103675.89
Email,24,1037,103381.96
Social,47,1006,102766.88
Email,13,1019,102015.55
Social,21,1052,101626.46
Social,37,1067,101586.65
Social,9,1068,101128.87
Email,30,1018,100520.48
Email,46,1013,100471.86
Social,3,1109,100400.88
Email,32,1020,100321.43
Email,10,1038,100287.32
Social,32,1001,99253.74
Email,26,1042,99192.72
Social,28,1063,98754.56
Email,41,1024,98714.02
Social,27,1044,98502.76
Social,19,1026,98437.54
Social,6,1005,98171.28
Social,15,1036,97886.86
Email,22,972,97723.75
Email,35,1015,96691.89
Email,42,1021,96575.31
