transaction_id,timestamp,customer_id,product_id,campaign_id,quantity,discount_applied,gross_revenue,refund_flag
1,2023-12-22 00:33:32,10012,205,3,5,5,6757.02,0
2,2024-05-12 05:36:08,4219,16,5,1,0,297.92,0
3,2023-05-25 08:21:45,38709,271,22,4,15,2023.48,0
4,2024-12-14 22:34:33,61699,239,5,5,20,1014.44,0
5,2024-11-20 15:51:46,29670,173,33,3,5,1001.8,0
6,2024-06-05 07:29:38,46497,449,5,4,15,3584.31,0
7,2023-11-13 08:41:07,39549,183,50,1,20,706.92,0
8,2024-05-03 00:24:49,79991,367,46,1,10,1038.96,0
9,2024-07-22 07:55:06,48350,287,12,5,20,4138.64,0
10,2023-10-22 08:08:58,22487,369,35,1,15,244.79,0
11,2023-01-02 13:37:30,44199,90,37,2,10,228.42,0
12,2023-02-24 10:13:51,86651,482,2,2,5,340.75,0
13,2024-11-15 14:02:08,11245,39,26,2,5,1805.74,0
14,2025-01-01 15:29:38,71065,400,18,4,5,1260.61,0
15,2023-07-25 00:35:15,86256,160,25,4,0,3501.68,0
16,2024-08-09 15:00:52,26108,500,8,3,10,3680.32,0
17,2024-05-04 06:49:51,95013,428,33,1,15,238.08,0
18,2024-04-01 09:51:33,51014,254,20,5,0,4830.05,0
19,2024-08-29 22:34:39,80881,169,43,3,0,268.71,0
20,2025-01-30 19:47:00,98223,473,34,1,10,1138.75,0
21,2023-04-27 03:18:06,57251,281,1,2,20,1383.42,0
22,2024-04-03 22:51:40,27132,9,24,2,0,2156.92,1
23,2024-09-07 22:12:03,72389,378,41,1,20,1152.51,0
24,2024-07-24 10:44:32,71480,62,39,1,15,586.19,0
25,2023-08-30 08:20:00,28043,30,22,4,10,4288.0,0
26,2023-10-12 18:55:23,20565,147,8,3,5,3437.9,0
27,2023-05-10 13:50:48,38713,170,23,4,20,2549.92,0
28,2024-10-08 04:44:01,35517,303,16,4,15,4394.53,0
29,2023-05-20 05:13:52,69494,222,12,2,15,1348.69,0
30,2023-03-10 03:15:18,89436,33,28,3,20,3574.85,0
31,2024-05-22 08:38:47,9045,97,40,1,20,265.74,1
32,2024-07-25 10:08:54,75311,106,18,4,10,4077.29,0
33,2023-12-06 20:59:18,60641,454,10,3,10,3430.13,0
34,2023-09-20 03:38:02,44715,180,14,3,0,1981.62,0
35,2025-01-03 20:25:22,89966,396,47,1,5,408.69,0
36,2023-05-24 05:59:07,11475,72,19,5,15,1906.51,0
37,2023-12-08 11:13:35,20364,468,49,2,5,108.45,0
38,2024-01-04 19:13:15,47612,62,1,3,15,1758.56,0
39,2024-08-29 13:13:37,96570,428,38,5,10,1260.4,0
40,2024-05-23 14:10:46,48183,167,7,3,0,2026.77,0
41,2023-05-06 20:29:23,55294,87,7,2,5,1319.64,1
42,2024-06-25 14:47:46,87578,473,19,4,10,4555.01,0
43,2023-04-09 16:18:04,95119,458,19,1,5,885.91,0
44,2024-08-18 18:29:27,50380,11,3,5,5,1125.37,0
45,2024-08-30 11:20:22,49331,480,45,5,20,1181.0,0
46,2024-03-19 16:53:53,39125,247,40,3,0,2492.73,0
47,2023-08-21 09:54:47,4895,54,50,3,0,609.96,0
48,2023-02-23 14:56:03,39633,24,39,3,15,3738.71,0
49,2024-05-17 19:13:59,92561,19,21,3,20,933.14,0
50,2024-07-13 20:54:00,82800,342,28,4,5,5609.22,0
51,2023-09-13 08:50:28,48647,484,35,2,0,2567.16,0
52,2023-10-18 07:46:56,43923,268,47,3,15,1011.05,0
53,2023-08-25 12:11:38,23039,79,21,3,10,3012.26,0
54,2024-10-06 12:14:36,72316,429,31,2,20,206.9,0
55,2024-01-20 02:50:25,89734,448,10,5,0,7432.25,0
56,2024-09-11 04:02:50,64474,312,24,5,10,1036.62,0
57,2023-05-21 21:22:48,40221,289,31,5,15,2856.59,0
58,2024-10-08 09:00:01,55221,55,37,4,0,2195.28,0
59,2024-10-30 15:49:07,18343,119,44,4,20,4783.23,0
60,2025-02-11 05:07:23,7189,116,42,2,5,146.98,0
61,2023-11-07 16:23:04,47231,112,26,3,5,4097.19,0
62,2025-02-06 12:13:20,14341,287,33,3,15,2638.38,0
63,2023-11-10 21:43:59,75053,221,18,3,10,1787.0,0
64,2024-03-19 23:13:44,93558,50,15,5,5,2350.2,0
65,2025-02-13 23:18:46,99750,435,10,4,5,3028.11,0
66,2024-05-09 23:41:57,3491,262,30,1,15,378.28,0
67,2023-04-03 17:14:33,44592,425,13,2,5,2771.8,0
68,2023-09-08 04:06:48,61913,302,3,4,15,5002.93,0
69,2023-10-06 09:13:34,83528,155,32,2,0,2258.06,0
70,2024-07-16 02:16:59,14164,223,7,3,0,107.7,0
71,2024-03-27 09:53:00,68106,375,24,3,20,2575.9,0
72,2023-07-24 18:08:57,7867,457,49,4,15,4849.9,0
73,2023-11-27 00:35:04,64525,451,36,4,20,4258.05,0
74,2023-06-28 17:24:27,48452,263,2,5,10,715.41,0
