event_id,timestamp,customer_id,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group,touch_order,purchase_time
505328,2023-03-04 20:15:17,2,S9084244,search,135,Desktop,Email,3,Category,2080,B,1,2024-10-20 18:33:48
66512,2023-04-01 05:01:21,2,S1675068,search,229,Tablet,Affiliate,9,Category,3410,B,2,2024-10-20 18:33:48
736259,2023-07-10 17:31:15,2,S6349726,add_to_cart,467,Tablet,Display,41,Product,3151,A,3,2024-10-20 18:33:48
526746,2024-02-19 23:21:14,2,S8124970,page_view,220,Desktop,Paid Social,5,Category,2964,B,4,2024-10-20 18:33:48
424352,2024-10-07 01:40:22,2,S8369327,product_view,136,Mobile,Direct,47,Home,3372,B,5,2024-10-20 18:33:48
397204,2024-10-20 18:33:48,2,S8380409,purchase,161,Mobile,Direct,43,Search,1450,A,6,2024-10-20 18:33:48
519670,2023-06-12 07:28:55,7,S9356193,page_view,383,Tablet,Affiliate,22,Category,2990,A,1,2024-01-12 13:00:23
29097,2023-08-22 23:27:05,7,S1077839,page_view,58,Mobile,Display,50,Checkout,2945,B,2,2024-01-12 13:00:23
677454,2023-09-15 22:27:59,7,S6192343,page_view,381,Mobile,Paid Social,42,Category,1827,B,3,2024-01-12 13:00:23
569173,2023-10-30 09:27:53,7,S3693492,product_view,132,Tablet,Direct,4,Cart,2458,B,4,2024-01-12 13:00:23
193690,2024-01-12 13:00:23,7,S1129547,purchase,263,Desktop,Direct,20,Home,797,B,5,2024-01-12 13:00:23
348647,2023-08-28 19:38:19,13,S6838303,page_view,245,Mobile,Paid Social,11,Checkout,676,A,1,2024-02-04 10:04:26
218694,2023-11-18 20:24:27,13,S5545603,add_to_cart,337,Mobile,Affiliate,42,Product,433,A,2,2024-02-04 10:04:26
172620,2024-02-04 10:04:26,13,S8902878,purchase,496,Mobile,Direct,22,Search,3349,B,3,2024-02-04 10:04:26
138162,2023-10-30 07:09:13,14,S6773964,purchase,290,Desktop,Referrals,35,Profile,2589,A,1,2023-10-30 07:09:13
86250,2023-03-29 21:03:25,18,S7440078,page_view,373,Desktop,Direct,44,Profile,3003,B,1,2023-09-08 05:01:54
429845,2023-04-28 03:55:23,18,S3768595,product_view,132,Mobile,Display,25,Home,989,A,2,2023-09-08 05:01:54
780893,2023-07-08 05:59:43,18,S1808986,add_to_cart,12,Desktop,Referrals,49,Search,443,B,3,2023-09-08 05:01:54
227973,2023-09-08 05:01:54,18,S9225099,purchase,201,Desktop,Referrals,10,Cart,981,B,4,2023-09-08 05:01:54
644680,2023-03-28 10:53:40,22,S7349551,page_view,475,Tablet,Referrals,17,Profile,3298,B,1,2024-04-09 19:30:27
137134,2023-05-03 00:00:08,22,S6092875,wishlist,26,Desktop,Display,38,Home,3408,B,2,2024-04-09 19:30:27
218555,2023-12-09 06:31:37,22,S3537875,page_view,475,Tablet,Referrals,4,Search,1068,B,3,2024-04-09 19:30:27
619777,2024-04-09 19:30:27,22,S5715904,purchase,198,Desktop,Referrals,20,Checkout,2946,B,4,2024-04-09 19:30:27
90549,2024-01-06 02:35:02,23,S4376795,page_view,5,Mobile,Display,16,Product,2734,B,1,2024-07-23 21:35:10
606186,2024-04-03 17:07:46,23,S8917775,page_view,415,Mobile,Referrals,16,Category,2076,A,2,2024-07-23 21:35:10
770670,2024-04-09 07:53:49,23,S1355599,page_view,431,Tablet,Display,48,Cart,2866,A,3,2024-07-23 21:35:10
154499,2024-05-13 18:22:13,23,S9525895,page_view,301,Tablet,Email,27,Cart,2722,A,4,2024-07-23 21:35:10
47039,2024-05-23 11:50:43,23,S5039924,page_view,493,Tablet,Paid Social,43,Home,2463,A,5,2024-07-23 21:35:10
543023,2024-05-27 02:18:31,23,S4756149,add_to_cart,230,Desktop,Affiliate,18,Checkout,2930,B,6,2024-07-23 21:35:10
737159,2024-07-02 22:34:18,23,S8267459,product_view,283,Desktop,Direct,50,Cart,3139,A,7,2024-07-23 21:35:10
422305,2024-07-23 21:35:10,23,S3028535,purchase,495,Desktop,Display,18,Profile,2611,A,8,2024-07-23 21:35:10
30054,2023-02-24 14:29:36,27,S1723772,product_view,465,Tablet,Affiliate,49,Profile,2899,B,1,2023-05-28 23:38:59
226743,2023-05-28 23:38:59,27,S6258707,purchase,412,Mobile,Direct,46,Search,1806,B,2,2023-05-28 23:38:59
569431,2023-05-11 01:05:34,28,S4834502,add_to_cart,174,Mobile,Paid Search,24,Product,475,B,1,2025-02-14 10:02:11
659902,2023-05-16 10:50:20,28,S8523237,page_view,483,Tablet,Affiliate,17,Search,2628,A,2,2025-02-14 10:02:11
158846,2023-06-30 19:56:23,28,S2923382,page_view,41,Mobile,Paid Social,26,Profile,2351,B,3,2025-02-14 10:02:11
757355,2023-12-24 16:04:29,28,S3497282,checkout,421,Tablet,Email,6,Cart,2017,A,4,2025-02-14 10:02:11
71803,2024-08-20 06:00:49,28,S8102078,page_view,417,Tablet,Display,33,Category,172,A,5,2025-02-14 10:02:11
324716,2024-09-14 21:54:58,28,S2720786,page_view,327,Tablet,Referrals,28,Search,1577,B,6,2025-02-14 10:02:11
132006,2024-11-03 12:20:47,28,S1205841,add_to_cart,132,Desktop,Paid Search,1,Cart,1976,A,7,2025-02-14 10:02:11
102929,2024-11-14 09:13:45,28,S3986199,page_view,329,Desktop,Referrals,38,Category,2882,A,8,2025-02-14 10:02:11
204615,2025-02-14 10:02:11,28,S9786109,purchase,146,Desktop,Referrals,43,Search,1273,B,9,2025-02-14 10:02:11
349933,2023-06-09 09:01:17,29,S3613192,purchase,167,Mobile,Paid Search,31,Profile,2364,B,1,2023-06-09 09:01:17
179983,2023-08-08 00:29:03,31,S9856001,product_view,275,Mobile,Referrals,28,Profile,1894,A,1,2024-01-14 07:01:59
234363,2023-08-20 07:50:52,31,S3488957,page_view,220,Mobile,Paid Social,5,Category,3177,A,2,2024-01-14 07:01:59
289919,2023-10-23 05:14:17,31,S1886682,checkout,316,Tablet,Affiliate,33,Product,229,A,3,2024-01-14 07:01:59
263525,2024-01-14 07:01:59,31,S6616999,purchase,311,Tablet,Direct,10,Checkout,586,A,4,2024-01-14 07:01:59
94526,2023-06-10 21:21:04,35,S4887080,wishlist,75,Tablet,Paid Search,1,Profile,3537,B,1,2023-06-13 17:18:23
500505,2023-06-13 17:18:23,35,S2254109,purchase,361,Tablet,Referrals,10,Home,429,A,2,2023-06-13 17:18:23
8797,2023-01-09 20:25:39,37,S9012960,purchase,109,Mobile,Paid Search,31,Checkout,2688,A,1,2023-01-09 20:25:39
297080,2023-03-27 08:18:01,43,S7225343,search,363,Desktop,Email,47,Category,738,B,1,2024-06-25 10:55:50
549337,2024-01-15 23:54:30,43,S2460312,add_to_cart,173,Mobile,Paid Search,9,Home,1655,B,2,2024-06-25 10:55:50
17699,2024-06-25 10:55:50,43,S4985378,purchase,363,Desktop,Email,2,Checkout,1785,A,3,2024-06-25 10:55:50
377625,2023-10-02 10:36:03,45,S4285219,product_view,78,Desktop,Display,20,Cart,2834,A,1,2024-07-16 16:20:01
54525,2023-10-21 10:15:23,45,S9873319,search,317,Tablet,Paid Social,14,Product,1552,A,2,2024-07-16 16:20:01
764594,2024-07-16 16:20:01,45,S8388248,purchase,134,Desktop,Paid Social,43,Home,1642,B,3,2024-07-16 16:20:01
264357,2023-02-20 09:23:54,47,S3728482,page_view,79,Mobile,Direct,28,Home,1303,A,1,2024-02-28 19:43:26
639131,2023-06-20 18:01:38,47,S8154328,add_to_cart,282,Desktop,Direct,46,Product,603,A,2,2024-02-28 19:43:26
596913,2023-06-22 16:34:10,47,S9353709,add_to_cart,408,Mobile,Paid Search,39,Home,2020,A,3,2024-02-28 19:43:26
383039,2023-12-11 18:44:12,47,S2176415,search,358,Tablet,Direct,1,Checkout,602,B,4,2024-02-28 19:43:26
574981,2024-02-28 19:43:26,47,S1210129,purchase,492,Desktop,Affiliate,21,Home,2519,B,5,2024-02-28 19:43:26
514080,2023-05-19 17:52:14,49,S5954378,purchase,399,Tablet,Referrals,48,Search,1097,B,1,2023-05-19 17:52:14
85327,2023-02-01 06:08:15,50,S3784142,product_view,458,Mobile,Referrals,5,Checkout,3398,A,1,2023-07-27 12:12:00
689458,2023-02-18 12:04:38,50,S7439013,page_view,389,Tablet,Affiliate,22,Search,87,B,2,2023-07-27 12:12:00
666288,2023-02-23 18:02:58,50,S6961537,wishlist,73,Desktop,Paid Search,5,Product,1368,B,3,2023-07-27 12:12:00
257713,2023-03-31 08:07:21,50,S8849428,page_view,39,Tablet,Display,44,Profile,1791,B,4,2023-07-27 12:12:00
367082,2023-04-01 20:48:58,50,S4150118,wishlist,371,Mobile,Email,17,Cart,1574,B,5,2023-07-27 12:12:00
335569,2023-07-13 04:48:46,50,S1767635,search,416,Tablet,Display,36,Product,3581,B,6,2023-07-27 12:12:00
545021,2023-07-27 12:12:00,50,S9185443,purchase,205,Desktop,Direct,49,Checkout,3502,B,7,2023-07-27 12:12:00
751587,2023-01-22 17:33:41,52,S6677703,add_to_cart,79,Mobile,Paid Social,33,Home,1114,B,1,2023-10-25 05:26:02
797688,2023-04-16 15:01:54,52,S6889543,product_view,444,Desktop,Direct,19,Product,3556,B,2,2023-10-25 05:26:02
566866,2023-05-17 18:19:25,52,S9907297,checkout,267,Mobile,Referrals,30,Product,55,B,3,2023-10-25 05:26:02
346891,2023-05-17 23:49:33,52,S4202985,login,371,Desktop,Direct,19,Search,2060,A,4,2023-10-25 05:26:02
692033,2023-06-04 20:26:52,52,S9253815,checkout,480,Mobile,Paid Social,45,Profile,2095,B,5,2023-10-25 05:26:02
633215,2023-07-31 12:27:50,52,S6503661,search,61,Mobile,Email,19,Cart,972,A,6,2023-10-25 05:26:02
284220,2023-10-19 05:21:23,52,S9294475,page_view,321,Desktop,Display,14,Search,2829,A,7,2023-10-25 05:26:02
543300,2023-10-25 05:26:02,52,S3835692,purchase,419,Tablet,Email,44,Checkout,2469,A,8,2023-10-25 05:26:02
7067,2023-03-25 08:02:43,53,S3101339,search,70,Desktop,Direct,14,Search,802,A,1,2024-02-14 05:07:16
131559,2023-07-13 07:49:42,53,S3227402,product_view,384,Tablet,Email,23,Profile,3199,A,2,2024-02-14 05:07:16
388525,2023-09-02 16:01:20,53,S6013510,page_view,143,Tablet,Paid Search,24,Home,2297,A,3,2024-02-14 05:07:16
759414,2023-11-18 22:53:39,53,S4100068,product_view,468,Desktop,Direct,17,Profile,3180,A,4,2024-02-14 05:07:16
531442,2024-02-14 05:07:16,53,S5284244,purchase,92,Mobile,Display,33,Home,3241,B,5,2024-02-14 05:07:16
690943,2023-03-15 10:17:04,54,S5988896,search,400,Mobile,Paid Social,21,Search,252,B,1,2023-04-20 13:52:01
770874,2023-04-20 13:52:01,54,S5928849,purchase,83,Mobile,Email,44,Category,21,A,2,2023-04-20 13:52:01
501005,2023-02-25 16:50:46,57,S4822384,page_view,392,Desktop,Paid Social,49,Checkout,3399,A,1,2023-07-12 02:57:05
197111,2023-04-07 10:11:16,57,S5110885,wishlist,7,Mobile,Paid Social,23,Cart,349,B,2,2023-07-12 02:57:05
257954,2023-07-12 02:57:05,57,S9724065,purchase,249,Mobile,Paid Social,2,Profile,1899,B,3,2023-07-12 02:57:05
432860,2023-03-15 09:38:31,59,S5157481,page_view,32,Desktop,Direct,46,Cart,2552,A,1,2023-06-06 01:07:54
367364,2023-05-21 00:00:48,59,S3205394,search,265,Mobile,Display,41,Home,3462,A,2,2023-06-06 01:07:54
448204,2023-06-06 01:07:54,59,S5250352,purchase,417,Mobile,Display,48,Category,3342,B,3,2023-06-06 01:07:54
550766,2023-02-13 02:11:10,60,S3588340,wishlist,157,Tablet,Paid Search,4,Checkout,2540,A,1,2023-09-28 18:00:57
857,2023-04-15 07:55:14,60,S2536978,checkout,267,Mobile,Referrals,18,Search,1790,A,2,2023-09-28 18:00:57
115614,2023-09-28 18:00:57,60,S9678787,purchase,404,Mobile,Display,50,Product,2182,A,3,2023-09-28 18:00:57
557729,2023-02-23 14:05:02,66,S8662650,page_view,426,Mobile,Direct,50,Home,3062,A,1,2024-09-17 04:23:03
336070,2023-08-14 05:00:24,66,S2791487,product_view,410,Mobile,Paid Search,41,Product,1202,B,2,2024-09-17 04:23:03
720472,2023-08-22 07:24:03,66,S8091214,page_view,433,Mobile,Paid Social,26,Category,682,A,3,2024-09-17 04:23:03
