customer_id,event_id,timestamp,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group,touch_order
2,397204,2024-10-20 18:33:48,S8380409,purchase,161,Mobile,Direct,43,Search,1450,A,6
7,193690,2024-01-12 13:00:23,S1129547,purchase,263,Desktop,Direct,20,Home,797,B,5
13,172620,2024-02-04 10:04:26,S8902878,purchase,496,Mobile,Direct,22,Search,3349,B,3
14,138162,2023-10-30 07:09:13,S6773964,purchase,290,Desktop,Referrals,35,Profile,2589,A,1
18,227973,2023-09-08 05:01:54,S9225099,purchase,201,Desktop,Referrals,10,Cart,981,B,4
22,619777,2024-04-09 19:30:27,S5715904,purchase,198,Desktop,Referrals,20,Checkout,2946,B,4
23,422305,2024-07-23 21:35:10,S3028535,purchase,495,Desktop,Display,18,Profile,2611,A,8
27,226743,2023-05-28 23:38:59,S6258707,purchase,412,Mobile,Direct,46,Search,1806,B,2
28,204615,2025-02-14 10:02:11,S9786109,purchase,146,Desktop,Referrals,43,Search,1273,B,9
29,349933,2023-06-09 09:01:17,S3613192,purchase,167,Mobile,Paid Search,31,Profile,2364,B,1
31,263525,2024-01-14 07:01:59,S6616999,purchase,311,Tablet,Direct,10,Checkout,586,A,4
35,500505,2023-06-13 17:18:23,S2254109,purchase,361,Tablet,Referrals,10,Home,429,A,2
37,8797,2023-01-09 20:25:39,S9012960,purchase,109,Mobile,Paid Search,31,Checkout,2688,A,1
43,17699,2024-06-25 10:55:50,S4985378,purchase,363,Desktop,Email,2,Checkout,1785,A,3
45,764594,2024-07-16 16:20:01,S8388248,purchase,134,Desktop,Paid Social,43,Home,1642,B,3
47,574981,2024-02-28 19:43:26,S1210129,purchase,492,Desktop,Affiliate,21,Home,2519,B,5
49,514080,2023-05-19 17:52:14,S5954378,purchase,399,Tablet,Referrals,48,Search,1097,B,1
50,545021,2023-07-27 12:12:00,S9185443,purchase,205,Desktop,Direct,49,Checkout,3502,B,7
52,543300,2023-10-25 05:26:02,S3835692,purchase,419,Tablet,Email,44,Checkout,2469,A,8
53,531442,2024-02-14 05:07:16,S5284244,purchase,92,Mobile,Display,33,Home,3241,B,5
54,770874,2023-04-20 13:52:01,S5928849,purchase,83,Mobile,Email,44,Category,21,A,2
57,257954,2023-07-12 02:57:05,S9724065,purchase,249,Mobile,Paid Social,2,Profile,1899,B,3
59,448204,2023-06-06 01:07:54,S5250352,purchase,417,Mobile,Display,48,Category,3342,B,3
60,115614,2023-09-28 18:00:57,S9678787,purchase,404,Mobile,Display,50,Product,2182,A,3
66,711244,2024-09-17 04:23:03,S5787972,purchase,341,Mobile,Paid Search,13,Cart,2376,B,9
69,581741,2023-05-14 10:40:33,S1423767,purchase,500,Desktop,Display,23,Profile,2820,A,1
70,213992,2023-01-12 09:27:31,S4053187,purchase,454,Tablet,Direct,29,Cart,2669,A,1
72,408096,2023-08-11 20:04:49,S6643706,purchase,95,Tablet,Paid Social,19,Profile,465,B,1
73,704550,2025-02-01 16:08:55,S7755571,purchase,288,Mobile,Paid Search,35,Profile,1729,A,10
76,118414,2024-07-09 17:23:53,S7769413,purchase,269,Mobile,Affiliate,16,Checkout,1437,B,4
77,577151,2024-01-14 10:15:19,S8736022,purchase,92,Tablet,Email,13,Cart,3538,A,3
80,478817,2024-05-01 13:14:08,S6674185,purchase,101,Desktop,Email,36,Checkout,488,A,10
82,94828,2023-08-01 11:18:49,S1522929,purchase,239,Mobile,Referrals,24,Search,234,B,3
84,704574,2023-05-03 04:26:49,S5976162,purchase,420,Tablet,Display,33,Category,3061,A,2
93,134373,2023-08-29 02:48:09,S3592623,purchase,480,Tablet,Paid Search,38,Product,536,B,2
94,528215,2024-10-02 08:03:35,S7931356,purchase,167,Mobile,Email,26,Home,3419,B,10
96,273648,2023-02-11 20:23:54,S4610539,purchase,236,Tablet,Paid Social,7,Checkout,750,A,1
108,410615,2023-04-02 15:47:07,S1315008,purchase,394,Desktop,Referrals,43,Home,1944,B,3
112,255644,2023-07-27 00:26:02,S5505785,purchase,122,Desktop,Affiliate,4,Profile,1441,B,2
113,276308,2023-11-13 07:56:23,S1309643,purchase,493,Mobile,Referrals,41,Product,428,A,3
115,408441,2023-06-08 11:31:03,S1763070,purchase,389,Tablet,Display,35,Search,2186,B,2
