customer_id,event_id,timestamp,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group,touch_order,purchase_time,attributed_revenue
2,505328,2023-03-04 20:15:17,S9084244,search,135,Desktop,Email,3,Category,2080,B,1,2024-10-20 18:33:48,3226.2599999999998
7,519670,2023-06-12 07:28:55,S9356193,page_view,383,Tablet,Affiliate,22,Category,2990,A,1,2024-01-12 13:00:23,2808.07
13,348647,2023-08-28 19:38:19,S6838303,page_view,245,Mobile,Paid Social,11,Checkout,676,A,1,2024-02-04 10:04:26,2325.85
14,138162,2023-10-30 07:09:13,S6773964,purchase,290,Desktop,Referrals,35,Profile,2589,A,1,2023-10-30 07:09:13,0.0
18,86250,2023-03-29 21:03:25,S7440078,page_view,373,Desktop,Direct,44,Profile,3003,B,1,2023-09-08 05:01:54,0.0
22,644680,2023-03-28 10:53:40,S7349551,page_view,475,Tablet,Referrals,17,Profile,3298,B,1,2024-04-09 19:30:27,0.0
23,90549,2024-01-06 02:35:02,S4376795,page_view,5,Mobile,Display,16,Product,2734,B,1,2024-07-23 21:35:10,0.0
27,30054,2023-02-24 14:29:36,S1723772,product_view,465,Tablet,Affiliate,49,Profile,2899,B,1,2023-05-28 23:38:59,3898.33
28,569431,2023-05-11 01:05:34,S4834502,add_to_cart,174,Mobile,Paid Search,24,Product,475,B,1,2025-02-14 10:02:11,3660.51
29,349933,2023-06-09 09:01:17,S3613192,purchase,167,Mobile,Paid Search,31,Profile,2364,B,1,2023-06-09 09:01:17,0.0
31,179983,2023-08-08 00:29:03,S9856001,product_view,275,Mobile,Referrals,28,Profile,1894,A,1,2024-01-14 07:01:59,0.0
35,94526,2023-06-10 21:21:04,S4887080,wishlist,75,Tablet,Paid Search,1,Profile,3537,B,1,2023-06-13 17:18:23,5284.35
37,8797,2023-01-09 20:25:39,S9012960,purchase,109,Mobile,Paid Search,31,Checkout,2688,A,1,2023-01-09 20:25:39,2010.3
43,297080,2023-03-27 08:18:01,S7225343,search,363,Desktop,Email,47,Category,738,B,1,2024-06-25 10:55:50,1218.55
45,377625,2023-10-02 10:36:03,S4285219,product_view,78,Desktop,Display,20,Cart,2834,A,1,2024-07-16 16:20:01,0.0
47,264357,2023-02-20 09:23:54,S3728482,page_view,79,Mobile,Direct,28,Home,1303,A,1,2024-02-28 19:43:26,4246.53
49,514080,2023-05-19 17:52:14,S5954378,purchase,399,Tablet,Referrals,48,Search,1097,B,1,2023-05-19 17:52:14,4580.42
50,85327,2023-02-01 06:08:15,S3784142,product_view,458,Mobile,Referrals,5,Checkout,3398,A,1,2023-07-27 12:12:00,8170.429999999999
52,751587,2023-01-22 17:33:41,S6677703,add_to_cart,79,Mobile,Paid Social,33,Home,1114,B,1,2023-10-25 05:26:02,0.0
53,7067,2023-03-25 08:02:43,S3101339,search,70,Desktop,Direct,14,Search,802,A,1,2024-02-14 05:07:16,2108.51
54,690943,2023-03-15 10:17:04,S5988896,search,400,Mobile,Paid Social,21,Search,252,B,1,2023-04-20 13:52:01,0.0
57,501005,2023-02-25 16:50:46,S4822384,page_view,392,Desktop,Paid Social,49,Checkout,3399,A,1,2023-07-12 02:57:05,0.0
59,432860,2023-03-15 09:38:31,S5157481,page_view,32,Desktop,Direct,46,Cart,2552,A,1,2023-06-06 01:07:54,4185.11
60,550766,2023-02-13 02:11:10,S3588340,wishlist,157,Tablet,Paid Search,4,Checkout,2540,A,1,2023-09-28 18:00:57,797.21
66,557729,2023-02-23 14:05:02,S8662650,page_view,426,Mobile,Direct,50,Home,3062,A,1,2024-09-17 04:23:03,2916.18
69,581741,2023-05-14 10:40:33,S1423767,purchase,500,Desktop,Display,23,Profile,2820,A,1,2023-05-14 10:40:33,1517.96
70,213992,2023-01-12 09:27:31,S4053187,purchase,454,Tablet,Direct,29,Cart,2669,A,1,2023-01-12 09:27:31,0.0
72,408096,2023-08-11 20:04:49,S6643706,purchase,95,Tablet,Paid Social,19,Profile,465,B,1,2023-08-11 20:04:49,8717.11
73,355959,2023-01-30 17:09:10,S5515555,product_view,311,Desktop,Referrals,41,Home,2013,A,1,2025-02-01 16:08:55,5002.33
76,103606,2023-10-14 20:29:55,S9698141,page_view,29,Tablet,Email,9,Product,3587,B,1,2024-07-09 17:23:53,0.0
77,741565,2023-07-25 00:00:30,S8200519,page_view,439,Tablet,Email,46,Cart,1077,B,1,2024-01-14 10:15:19,0.0
80,212742,2023-01-24 20:19:08,S8898029,product_view,225,Mobile,Referrals,16,Checkout,2909,B,1,2024-05-01 13:14:08,1009.42
82,446493,2023-01-24 20:56:56,S7193563,page_view,17,Mobile,Affiliate,36,Profile,3039,B,1,2023-08-01 11:18:49,0.0
84,433597,2023-02-08 17:00:26,S9291604,checkout,460,Tablet,Paid Search,41,Cart,2191,B,1,2023-05-03 04:26:49,0.0
93,14146,2023-06-19 03:07:14,S1439821,login,217,Desktop,Paid Social,28,Checkout,1590,A,1,2023-08-29 02:48:09,0.0
94,48452,2023-02-21 05:02:56,S4464087,product_view,127,Mobile,Paid Social,13,Search,2283,B,1,2024-10-02 08:03:35,0.0
96,273648,2023-02-11 20:23:54,S4610539,purchase,236,Tablet,Paid Social,7,Checkout,750,A,1,2023-02-11 20:23:54,2981.93
108,421031,2023-02-20 22:46:36,S3407576,page_view,470,Tablet,Affiliate,6,Home,1750,B,1,2023-04-02 15:47:07,7583.780000000001
112,753878,2023-07-24 15:39:45,S7217354,page_view,50,Tablet,Affiliate,36,Product,2893,A,1,2023-07-27 00:26:02,0.0
113,580794,2023-03-03 00:09:47,S3660732,page_view,381,Tablet,Display,2,Checkout,678,A,1,2023-11-13 07:56:23,2920.69
115,429158,2023-04-16 17:58:36,S4369567,page_view,146,Tablet,Direct,9,Profile,990,A,1,2023-06-08 11:31:03,5770.76
116,654966,2023-07-16 16:37:14,S4895755,purchase,474,Tablet,Paid Search,14,Checkout,3327,A,1,2023-07-16 16:37:14,2587.7
118,477312,2023-09-14 03:38:48,S8701459,page_view,183,Tablet,Direct,26,Checkout,3335,B,1,2023-10-05 12:15:31,0.0
119,191929,2023-04-21 04:31:10,S7398365,login,339,Tablet,Paid Social,30,Cart,538,B,1,2024-09-22 04:46:36,4350.8
124,500687,2023-04-10 16:58:20,S2699851,login,323,Tablet,Paid Social,1,Cart,1695,A,1,2023-10-15 06:34:38,6764.0
129,259295,2023-02-15 02:22:24,S5124311,purchase,244,Mobile,Email,36,Cart,2431,B,1,2023-02-15 02:22:24,6063.13
134,609361,2023-02-04 23:29:41,S1428380,page_view,492,Desktop,Affiliate,16,Cart,752,A,1,2023-05-06 02:46:09,1219.39
136,181632,2023-03-02 19:54:18,S7301314,page_view,310,Desktop,Display,45,Category,3050,B,1,2023-12-01 11:03:58,0.0
139,423339,2023-06-22 12:56:47,S8183367,page_view,65,Desktop,Referrals,35,Search,2344,B,1,2024-02-29 01:48:02,1771.53
142,474128,2023-01-20 14:22:20,S8454700,search,466,Tablet,Direct,35,Search,2501,B,1,2023-11-08 21:17:03,2479.22
146,450049,2023-04-01 11:14:13,S4539587,product_view,283,Mobile,Display,9,Search,1902,A,1,2024-11-26 22:02:10,1322.4
154,230455,2023-09-30 20:06:43,S5782857,page_view,113,Mobile,Direct,24,Category,1504,B,1,2025-02-04 22:45:36,6442.26
158,681928,2023-08-18 05:56:36,S8931214,page_view,111,Desktop,Direct,21,Profile,3076,A,1,2024-06-24 09:51:33,2167.34
159,522675,2023-04-01 21:36:06,S8244073,search,175,Mobile,Paid Search,47,Checkout,1165,A,1,2025-01-21 16:02:41,0.0
160,346373,2023-01-14 07:23:46,S4494104,page_view,207,Mobile,Referrals,43,Home,1527,A,1,2024-01-25 23:06:30,9587.3
163,496712,2023-04-09 17:55:12,S6538007,add_to_cart,276,Mobile,Paid Search,7,Cart,1666,A,1,2024-05-19 23:18:06,0.0
167,725457,2023-01-08 02:39:53,S6142914,add_to_cart,52,Desktop,Affiliate,6,Checkout,3166,A,1,2024-01-14 13:37:41,0.0
169,610821,2023-01-24 21:20:47,S6690856,purchase,428,Mobile,Referrals,24,Checkout,1014,B,1,2023-01-24 21:20:47,4367.39
170,634858,2023-02-03 11:03:49,S5544404,page_view,193,Mobile,Affiliate,29,Product,2282,B,1,2023-06-28 05:40:42,3893.59
172,421485,2023-01-11 04:23:01,S1421616,page_view,39,Mobile,Referrals,29,Product,429,A,1,2023-12-28 07:32:02,4000.5099999999998
174,394995,2023-04-09 01:12:22,S1449731,add_to_cart,181,Desktop,Direct,35,Checkout,1735,B,1,2023-04-16 02:30:39,2678.32
178,607996,2023-03-23 00:31:10,S5823395,purchase,221,Tablet,Paid Search,36,Home,2556,A,1,2023-03-23 00:31:10,8200.599999999999
179,208726,2023-01-05 13:42:19,S9430437,search,76,Desktop,Paid Social,28,Home,3274,A,1,2024-10-12 10:33:53,10747.86
180,135945,2023-03-20 22:14:32,S6531366,search,426,Desktop,Referrals,35,Search,1457,B,1,2023-06-07 18:19:59,5793.09
182,674110,2023-01-04 00:16:33,S9929833,add_to_cart,293,Tablet,Email,9,Search,631,A,1,2023-04-19 06:08:48,533.62
186,170716,2023-01-22 01:00:46,S8020486,wishlist,216,Tablet,Display,48,Profile,2929,B,1,2023-09-19 01:26:06,2035.74
188,644525,2023-04-19 02:14:34,S9318424,page_view,494,Mobile,Paid Social,42,Cart,640,A,1,2025-02-14 02:32:51,1877.5
194,732514,2023-03-18 11:53:03,S5306740,purchase,404,Mobile,Email,25,Category,2536,B,1,2023-03-18 11:53:03,1005.15
199,699673,2023-01-29 03:29:24,S4940344,purchase,446,Desktop,Display,33,Category,2918,A,1,2023-01-29 03:29:24,723.2
200,326565,2023-03-24 08:37:01,S6696891,login,60,Desktop,Affiliate,28,Product,3128,A,1,2023-12-19 21:52:07,2003.53
201,551917,2023-02-02 03:48:01,S6245376,purchase,438,Desktop,Paid Social,41,Category,249,B,1,2023-02-02 03:48:01,77.44
204,72236,2023-01-27 00:41:05,S4833864,search,210,Desktop,Affiliate,17,Search,1412,A,1,2024-03-26 11:22:06,2181.74
211,496793,2023-01-18 10:44:55,S4703654,checkout,468,Mobile,Email,38,Profile,1913,B,1,2024-10-09 23:19:53,843.33
214,695653,2023-02-03 21:09:31,S6982964,checkout,110,Tablet,Referrals,1,Home,1530,B,1,2024-06-18 06:34:28,3386.7
218,331287,2023-04-10 03:13:04,S3510183,product_view,330,Desktop,Paid Social,33,Category,2800,B,1,2024-11-06 01:59:45,0.0
225,462413,2023-02-01 08:41:02,S4865037,page_view,361,Tablet,Paid Search,14,Category,243,B,1,2024-10-14 17:51:07,166.91
228,693875,2023-02-18 03:40:45,S8497096,purchase,68,Mobile,Referrals,41,Checkout,3320,B,1,2023-02-18 03:40:45,6448.6
229,90922,2023-01-09 07:12:30,S1997988,product_view,483,Desktop,Referrals,9,Search,2449,B,1,2023-07-16 20:57:13,0.0
231,111170,2023-01-02 05:34:14,S3474481,page_view,203,Tablet,Paid Social,35,Profile,99,B,1,2024-03-08 10:15:48,0.0
236,547483,2023-01-20 01:52:48,S3971077,page_view,289,Desktop,Paid Search,43,Search,1255,A,1,2023-03-06 16:03:54,1654.32
240,99121,2023-06-18 06:56:04,S5625977,wishlist,435,Mobile,Email,24,Checkout,1358,B,1,2025-01-17 20:46:14,0.0
243,283029,2023-02-17 13:51:27,S8954342,add_to_cart,204,Desktop,Paid Social,44,Profile,3135,B,1,2023-10-29 05:16:04,4027.28
246,263481,2023-01-17 08:24:12,S3426174,purchase,299,Mobile,Paid Social,3,Checkout,2945,A,1,2023-01-17 08:24:12,0.0
247,717944,2023-01-21 01:28:11,S1235624,page_view,322,Desktop,Display,19,Search,3216,A,1,2024-10-13 13:35:54,2548.36
248,319119,2023-04-05 09:53:57,S5750573,purchase,31,Mobile,Paid Social,40,Cart,793,A,1,2023-04-05 09:53:57,0.0
250,209013,2023-05-14 13:45:14,S1918486,purchase,480,Tablet,Display,23,Product,2991,A,1,2023-05-14 13:45:14,5371.71
252,15026,2023-03-14 22:11:05,S1827114,product_view,428,Desktop,Paid Search,21,Category,850,B,1,2024-05-10 02:49:58,3418.86
255,448590,2023-01-11 12:19:34,S5223027,wishlist,77,Mobile,Paid Social,39,Cart,331,A,1,2024-07-29 07:44:00,5774.3099999999995
257,112595,2023-01-05 07:36:36,S2811710,add_to_cart,429,Mobile,Paid Search,41,Checkout,1273,A,1,2023-01-07 11:39:24,0.0
258,782368,2024-01-15 20:27:35,S3182279,page_view,254,Mobile,Paid Social,7,Cart,600,B,1,2025-02-09 11:28:43,0.0
261,364092,2023-05-27 10:42:50,S5657596,search,164,Tablet,Referrals,21,Cart,50,B,1,2024-03-27 10:55:12,0.0
268,739374,2023-04-13 02:27:24,S5430851,page_view,218,Mobile,Display,23,Search,472,A,1,2024-02-24 19:56:45,4576.08
272,234353,2023-07-15 13:45:05,S4501707,product_view,164,Desktop,Referrals,39,Profile,1981,B,1,2025-01-07 08:12:03,9547.01
273,92002,2023-02-20 02:40:50,S1584195,page_view,209,Desktop,Paid Social,40,Cart,3148,B,1,2023-06-01 02:18:35,1831.25
274,262633,2023-01-15 19:52:58,S9811180,page_view,278,Mobile,Referrals,15,Search,370,B,1,2023-03-16 17:53:54,0.0
