customer_id,event_id,timestamp,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group,touch_order,purchase_time,attributed_revenue
2,397204,2024-10-20 18:33:48,S8380409,purchase,161,Mobile,Direct,43,Search,1450,A,6,2024-10-20 18:33:48,3226.2599999999998
7,193690,2024-01-12 13:00:23,S1129547,purchase,263,Desktop,Direct,20,Home,797,B,5,2024-01-12 13:00:23,2808.07
13,172620,2024-02-04 10:04:26,S8902878,purchase,496,Mobile,Direct,22,Search,3349,B,3,2024-02-04 10:04:26,2325.85
14,138162,2023-10-30 07:09:13,S6773964,purchase,290,Desktop,Referrals,35,Profile,2589,A,1,2023-10-30 07:09:13,0.0
18,227973,2023-09-08 05:01:54,S9225099,purchase,201,Desktop,Referrals,10,Cart,981,B,4,2023-09-08 05:01:54,0.0
22,619777,2024-04-09 19:30:27,S5715904,purchase,198,Desktop,Referrals,20,Checkout,2946,B,4,2024-04-09 19:30:27,0.0
23,422305,2024-07-23 21:35:10,S3028535,purchase,495,Desktop,Display,18,Profile,2611,A,8,2024-07-23 21:35:10,0.0
27,226743,2023-05-28 23:38:59,S6258707,purchase,412,Mobile,Direct,46,Search,1806,B,2,2023-05-28 23:38:59,3898.33
28,204615,2025-02-14 10:02:11,S9786109,purchase,146,Desktop,Referrals,43,Search,1273,B,9,2025-02-14 10:02:11,3660.51
29,349933,2023-06-09 09:01:17,S3613192,purchase,167,Mobile,Paid Search,31,Profile,2364,B,1,2023-06-09 09:01:17,0.0
31,263525,2024-01-14 07:01:59,S6616999,purchase,311,Tablet,Direct,10,Checkout,586,A,4,2024-01-14 07:01:59,0.0
35,500505,2023-06-13 17:18:23,S2254109,purchase,361,Tablet,Referrals,10,Home,429,A,2,2023-06-13 17:18:23,5284.35
37,8797,2023-01-09 20:25:39,S9012960,purchase,109,Mobile,Paid Search,31,Checkout,2688,A,1,2023-01-09 20:25:39,2010.3
