customer_id,timestamp,traffic_source,campaign_id,event_type,touch_order,touch_count,attributed_revenue
2,2023-03-04 20:15:17,Email,3,search,1,6,537.7099999999999
2,2023-04-01 05:01:21,Affiliate,9,search,2,6,537.7099999999999
2,2023-07-10 17:31:15,Display,41,add_to_cart,3,6,537.7099999999999
2,2024-02-19 23:21:14,Paid Social,5,page_view,4,6,537.7099999999999
2,2024-10-07 01:40:22,Direct,47,product_view,5,6,537.7099999999999
2,2024-10-20 18:33:48,Direct,43,purchase,6,6,537.7099999999999
7,2023-06-12 07:28:55,Affiliate,22,page_view,1,5,561.614
7,2023-08-22 23:27:05,Display,50,page_view,2,5,561.614
7,2023-09-15 22:27:59,Paid Social,42,page_view,3,5,561.614
7,2023-10-30 09:27:53,Direct,4,product_view,4,5,561.614
7,2024-01-12 13:00:23,Direct,20,purchase,5,5,561.614
13,2023-08-28 19:38:19,Paid Social,11,page_view,1,3,775.2833333333333
13,2023-11-18 20:24:27,Affiliate,42,add_to_cart,2,3,775.2833333333333
13,2024-02-04 10:04:26,Direct,22,purchase,3,3,775.2833333333333
14,2023-10-30 07:09:13,Referrals,35,purchase,1,1,0.0
18,2023-03-29 21:03:25,Direct,44,page_view,1,4,0.0
18,2023-04-28 03:55:23,Display,25,product_view,2,4,0.0
18,2023-07-08 05:59:43,Referrals,49,add_to_cart,3,4,0.0
18,2023-09-08 05:01:54,Referrals,10,purchase,4,4,0.0
22,2023-03-28 10:53:40,Referrals,17,page_view,1,4,0.0
22,2023-05-03 00:00:08,Display,38,wishlist,2,4,0.0
22,2023-12-09 06:31:37,Referrals,4,page_view,3,4,0.0
22,2024-04-09 19:30:27,Referrals,20,purchase,4,4,0.0
23,2024-01-06 02:35:02,Display,16,page_view,1,8,0.0
23,2024-04-03 17:07:46,Referrals,16,page_view,2,8,0.0
23,2024-04-09 07:53:49,Display,48,page_view,3,8,0.0
23,2024-05-13 18:22:13,Email,27,page_view,4,8,0.0
23,2024-05-23 11:50:43,Paid Social,43,page_view,5,8,0.0
23,2024-05-27 02:18:31,Affiliate,18,add_to_cart,6,8,0.0
23,2024-07-02 22:34:18,Direct,50,product_view,7,8,0.0
23,2024-07-23 21:35:10,Display,18,purchase,8,8,0.0
27,2023-02-24 14:29:36,Affiliate,49,product_view,1,2,1949.165
27,2023-05-28 23:38:59,Direct,46,purchase,2,2,1949.165
28,2023-05-11 01:05:34,Paid Search,24,add_to_cart,1,9,406.72333333333336
28,2023-05-16 10:50:20,Affiliate,17,page_view,2,9,406.72333333333336
28,2023-06-30 19:56:23,Paid Social,26,page_view,3,9,406.72333333333336
28,2023-12-24 16:04:29,Email,6,checkout,4,9,406.72333333333336
28,2024-08-20 06:00:49,Display,33,page_view,5,9,406.72333333333336
28,2024-09-14 21:54:58,Referrals,28,page_view,6,9,406.72333333333336
28,2024-11-03 12:20:47,Paid Search,1,add_to_cart,7,9,406.72333333333336
28,2024-11-14 09:13:45,Referrals,38,page_view,8,9,406.72333333333336
