customer_id,traffic_source,campaign_id,attributed_revenue,attribution_model
2,Email,3,3226.26,First Touch
7,Affiliate,22,2808.07,First Touch
13,Paid Social,11,2325.85,First Touch
14,Referrals,35,0.0,First Touch
18,Direct,44,0.0,First Touch
22,Referrals,17,0.0,First Touch
23,Display,16,0.0,First Touch
27,Affiliate,49,3898.33,First Touch
28,Paid Search,24,3660.51,First Touch
29,Paid Search,31,0.0,First Touch
31,Referrals,28,0.0,First Touch
35,Paid Search,1,5284.35,First Touch
37,Paid Search,31,2010.3,First Touch
43,Email,47,1218.55,First Touch
45,Display,20,0.0,First Touch
47,Direct,28,4246.53,First Touch
49,Referrals,48,4580.42,First Touch
50,Referrals,5,8170.429999999999,First Touch
52,Paid Social,33,0.0,First Touch
53,Direct,14,2108.51,First Touch
54,Paid Social,21,0.0,First Touch
57,Paid Social,49,0.0,First Touch
59,Direct,46,4185.11,First Touch
60,Paid Search,4,797.21,First Touch
66,Direct,50,2916.18,First Touch
69,Display,23,1517.96,First Touch
70,Direct,29,0.0,First Touch
72,Paid Social,19,8717.11,First Touch
73,Referrals,41,5002.33,First Touch
76,Email,9,0.0,First Touch
77,Email,46,0.0,First Touch
80,Referrals,16,1009.42,First Touch
82,Affiliate,36,0.0,First Touch
84,Paid Search,41,0.0,First Touch
93,Paid Social,28,0.0,First Touch
94,Paid Social,13,0.0,First Touch
96,Paid Social,7,2981.93,First Touch
108,Affiliate,6,7583.780000000001,First Touch
112,Affiliate,36,0.0,First Touch
113,Display,2,2920.69,First Touch
115,Direct,9,5770.76,First Touch
116,Paid Search,14,2587.7,First Touch
118,Direct,26,0.0,First Touch
119,Paid Social,30,4350.8,First Touch
124,Paid Social,1,6764.0,First Touch
129,Email,36,6063.13,First Touch
134,Affiliate,16,1219.39,First Touch
136,Display,45,0.0,First Touch
139,Referrals,35,1771.53,First Touch
142,Direct,35,2479.22,First Touch
146,Display,9,1322.4,First Touch
154,Direct,24,6442.26,First Touch
158,Direct,21,2167.34,First Touch
159,Paid Search,47,0.0,First Touch
160,Referrals,43,9587.3,First Touch
163,Paid Search,7,0.0,First Touch
167,Affiliate,6,0.0,First Touch
169,Referrals,24,4367.39,First Touch
170,Affiliate,29,3893.59,First Touch
172,Referrals,29,4000.51,First Touch
174,Direct,35,2678.32,First Touch
178,Paid Search,36,8200.599999999999,First Touch
179,Paid Social,28,10747.86,First Touch
180,Referrals,35,5793.09,First Touch
